elbow_collarbone_magnitude,elbow_paw_magnitude,hip_iliac_crest_magnitude,hip_knee_magnitude,knee_hip_magnitude,knee_ankle_magnitude,ankle_knee_magnitude,ankle_mtp_magnitude
96.5,87.5,51.8,95.6,95.6,26.5,26.5,385.0
96.9,85.6,52.4,94.9,94.9,26.1,26.1,384.6
96.8,86.9,52.4,95.3,95.3,25.9,25.9,49.2
97.1,85.3,52.7,95.4,95.4,26.4,26.4,384.6
95.2,86.4,52.9,95.2,95.2,26.5,26.5,385.4
96.1,86.0,52.2,95.9,95.9,25.9,25.9,385.2
96.8,85.2,74.7,32.0,32.0,26.0,26.0,48.3
96.3,85.6,75.2,32.1,32.1,26.6,26.6,384.8
96.0,86.5,74.6,32.0,32.0,25.9,25.9,384.6
95.3,86.4,75.8,32.0,32.0,25.4,25.4,385.2
96.5,85.5,74.8,31.8,31.8,26.3,26.3,384.5
95.0,87.0,52.5,95.2,95.2,25.8,25.8,384.6
96.1,86.5,52.5,95.3,95.3,26.1,26.1,384.9
95.9,86.2,74.6,31.2,31.2,26.1,26.1,385.1
96.1,85.2,72.9,31.8,31.8,27.2,27.2,385.5
98.0,84.5,52.0,94.3,94.3,26.3,26.3,49.9
96.3,85.2,73.9,32.4,32.4,21.5,21.5,45.6
96.7,84.6,74.3,31.8,31.8,25.4,25.4,49.2
96.7,85.5,74.6,32.1,32.1,26.0,26.0,384.7
97.6,84.9,52.8,94.1,94.1,26.1,26.1,48.7
96.7,84.9,69.4,35.9,35.9,27.5,27.5,384.0
97.2,82.7,52.2,101.3,101.3,18.9,18.9,41.0
94.5,81.9,52.3,97.8,97.8,19.3,19.3,51.7
92.7,77.9,55.1,97.7,97.7,30.1,30.1,49.0
93.1,74.1,56.4,98.1,98.1,18.9,18.9,36.2
92.1,76.9,54.9,99.1,99.1,20.7,20.7,34.9
91.3,77.5,55.9,101.1,101.1,30.6,30.6,48.1
88.9,75.4,56.6,105.6,105.6,32.7,32.7,46.8
86.3,77.6,55.4,97.2,97.2,27.1,27.1,33.5
83.4,75.0,58.5,95.1,95.1,27.3,27.3,39.3
84.1,67.9,54.6,96.8,96.8,32.8,32.8,47.2
84.3,92.8,57.2,99.3,99.3,37.1,37.1,50.8
90.2,85.5,56.5,96.0,96.0,33.3,33.3,446.0
91.8,87.5,57.3,96.5,96.5,34.3,34.3,432.1
90.5,84.0,57.4,96.6,96.6,33.0,33.0,425.7
90.3,81.1,57.8,97.6,97.6,31.9,31.9,370.6
83.0,87.7,57.9,96.7,96.7,31.1,31.1,412.9
86.2,87.4,57.0,97.0,97.0,28.0,28.0,16.4
87.2,92.9,57.2,100.0,100.0,28.9,28.9,15.8
86.7,86.5,59.3,97.8,97.8,31.1,31.1,15.5
84.2,86.6,56.7,96.7,96.7,32.5,32.5,14.1
83.4,87.7,58.0,97.6,97.6,30.4,30.4,23.5
84.7,86.5,58.0,97.6,97.6,30.4,30.4,22.0
85.1,81.9,58.4,96.9,96.9,30.4,30.4,22.1
87.3,74.6,59.9,97.3,97.3,29.8,29.8,20.2
88.3,77.4,60.6,98.7,98.7,26.3,26.3,17.9
88.1,76.8,60.4,100.4,100.4,28.0,28.0,18.7
89.4,75.7,61.9,100.9,100.9,27.9,27.9,18.6
91.1,75.7,59.1,47.5,47.5,56.0,56.0,18.4
93.2,75.5,58.9,45.5,45.5,54.6,54.6,23.4
87.8,75.3,59.0,46.3,46.3,55.0,55.0,16.2
90.7,80.6,58.8,47.1,47.1,56.5,56.5,25.2
90.9,81.6,62.2,47.4,47.4,54.8,54.8,27.4
89.9,78.6,60.9,102.1,102.1,27.0,27.0,24.2
89.9,76.5,59.3,47.4,47.4,59.1,59.1,25.8
92.4,73.4,59.0,102.2,102.2,22.5,22.5,25.3
92.8,70.0,59.7,101.8,101.8,23.0,23.0,25.3
90.2,69.9,59.9,101.2,101.2,23.9,23.9,25.1
92.7,67.6,60.2,102.9,102.9,24.8,24.8,24.0
92.7,66.0,61.2,48.1,48.1,62.0,62.0,20.9
93.4,63.8,58.5,104.7,104.7,25.4,25.4,23.2
96.4,64.2,60.3,49.2,49.2,63.2,63.2,23.0
93.0,68.0,60.1,48.4,48.4,62.4,62.4,23.1
94.8,66.1,60.1,48.4,48.4,62.3,62.3,22.9
92.5,70.5,59.6,49.2,49.2,63.6,63.6,22.1
90.6,70.1,60.1,48.7,48.7,63.1,63.1,23.1
94.9,66.0,61.8,48.6,48.6,62.4,62.4,22.8
95.2,67.8,62.8,48.4,48.4,60.8,60.8,24.8
91.9,74.3,63.1,48.3,48.3,62.1,62.1,26.0
86.9,68.4,60.1,109.5,109.5,24.9,24.9,25.1
86.4,83.3,63.2,110.3,110.3,26.5,26.5,25.3
84.3,84.4,63.6,111.7,111.7,26.0,26.0,24.2
83.8,86.2,64.7,109.5,109.5,26.7,26.7,26.0
86.7,87.0,65.3,110.1,110.1,26.1,26.1,24.7
86.6,80.6,63.9,110.9,110.9,27.3,27.3,27.3
87.2,79.0,63.2,104.9,104.9,27.2,27.2,25.3
86.8,77.8,61.4,49.1,49.1,60.3,60.3,27.0
87.8,74.4,62.7,48.8,48.8,62.3,62.3,24.3
89.0,75.1,64.2,49.1,49.1,59.2,59.2,25.5
90.3,70.7,62.9,48.9,48.9,60.1,60.1,23.9
88.2,73.6,59.1,47.4,47.4,55.1,55.1,29.5
94.5,72.5,59.5,47.7,47.7,55.0,55.0,31.3
94.7,73.3,59.5,48.3,48.3,60.8,60.8,25.5
95.5,72.6,58.2,48.8,48.8,59.7,59.7,25.9
95.3,73.6,58.2,48.9,48.9,61.4,61.4,24.5
97.4,74.4,58.1,48.8,48.8,61.2,61.2,25.0
85.1,42.7,57.8,49.0,49.0,61.1,61.1,25.4
95.2,81.8,58.7,49.5,49.5,62.0,62.0,28.7
96.4,73.7,59.3,49.9,49.9,56.9,56.9,31.8
92.6,90.3,63.5,46.6,46.6,56.3,56.3,26.7
94.6,83.7,62.1,47.3,47.3,55.3,55.3,30.5
92.8,81.4,60.8,48.3,48.3,63.7,63.7,25.9
93.8,72.1,60.1,48.5,48.5,57.8,57.8,30.4
93.4,71.2,61.1,49.3,49.3,62.1,62.1,25.8
92.2,72.7,63.2,47.3,47.3,57.8,57.8,31.5
94.6,69.0,63.4,47.8,47.8,64.5,64.5,26.1
94.9,68.4,61.8,46.7,46.7,63.0,63.0,25.5
97.1,65.0,63.4,47.2,47.2,63.4,63.4,24.7
97.5,66.3,60.4,49.1,49.1,62.0,62.0,27.2
95.0,65.9,60.8,50.3,50.3,62.5,62.5,27.5
95.8,64.8,60.8,50.7,50.7,61.8,61.8,27.7
99.4,63.1,62.6,50.7,50.7,60.4,60.4,29.4
100.5,61.6,63.0,50.9,50.9,60.7,60.7,30.0
96.7,66.6,67.6,51.9,51.9,65.4,65.4,29.5
97.3,64.4,67.5,48.5,48.5,55.9,55.9,37.6
96.1,65.5,66.8,49.2,49.2,58.4,58.4,32.6
92.9,68.2,67.7,49.4,49.4,59.7,59.7,32.9
95.1,67.3,68.8,49.3,49.3,56.4,56.4,37.5
93.0,66.2,67.8,47.9,47.9,63.8,63.8,32.2
91.4,66.9,69.7,47.9,47.9,64.2,64.2,33.7
89.5,64.2,68.3,48.3,48.3,62.1,62.1,30.5
86.3,62.8,67.1,47.4,47.4,60.9,60.9,31.4
84.3,56.4,65.4,52.3,52.3,62.2,62.2,31.6
83.6,66.2,66.3,50.8,50.8,61.8,61.8,31.2
84.3,81.0,68.1,47.4,47.4,61.9,61.9,31.0
83.7,87.1,68.4,46.9,46.9,63.9,63.9,29.6
82.5,87.3,69.0,47.4,47.4,63.7,63.7,29.7
86.7,87.4,70.4,47.8,47.8,62.7,62.7,30.1
87.9,85.9,70.4,48.9,48.9,65.7,65.7,26.1
85.6,86.1,71.4,48.7,48.7,61.8,61.8,29.1
86.9,85.9,71.8,49.3,49.3,59.6,59.6,29.5
87.4,86.1,69.9,53.8,53.8,59.2,59.2,29.9
