elbow_collarbone_magnitude,elbow_paw_magnitude,hip_iliac_crest_magnitude,hip_knee_magnitude,knee_hip_magnitude,knee_ankle_magnitude,ankle_knee_magnitude,ankle_mtp_magnitude
95.9,88.1,65.7,33.5,33.5,90.8,90.8,24.0
90.1,96.3,28.4,67.8,67.8,93.3,93.3,21.8
83.7,87.2,34.0,65.7,65.7,93.9,93.9,23.2
91.5,101.6,36.2,62.0,62.0,91.2,91.2,22.2
88.8,104.6,33.9,65.9,65.9,87.0,87.0,22.1
97.7,104.4,36.1,73.6,73.6,75.8,75.8,24.7
99.5,105.1,37.5,74.4,74.4,75.9,75.9,24.1
95.4,102.4,35.8,75.5,75.5,80.0,80.0,20.9
95.5,102.6,31.7,76.8,76.8,80.2,80.2,22.2
96.3,99.9,31.8,77.5,77.5,81.5,81.5,23.1
96.9,100.5,31.1,79.9,79.9,78.1,78.1,22.0
96.4,97.3,36.0,79.8,79.8,74.3,74.3,19.3
99.8,97.9,37.0,76.4,76.4,75.7,75.7,20.7
101.4,95.4,34.1,78.9,78.9,73.5,73.5,22.7
99.2,95.5,60.7,42.8,42.8,84.2,84.2,22.3
98.3,95.9,64.1,39.5,39.5,82.8,82.8,21.1
98.6,97.6,64.5,37.1,37.1,83.9,83.9,19.3
99.7,95.7,50.6,49.4,49.4,84.5,84.5,19.1
101.2,92.2,51.4,48.3,48.3,84.9,84.9,18.4
104.7,90.1,55.1,44.9,44.9,87.3,87.3,18.6
101.6,93.6,55.4,42.3,42.3,88.9,88.9,19.1
104.2,114.1,56.4,38.9,38.9,91.6,91.6,19.5
98.0,118.9,28.6,75.3,75.3,90.0,90.0,19.6
99.2,125.9,31.8,61.5,61.5,94.9,94.9,20.4
104.5,114.5,33.0,72.1,72.1,78.1,78.1,18.9
102.5,113.8,38.2,70.9,70.9,78.1,78.1,21.8
102.6,113.4,37.1,71.3,71.3,79.4,79.4,23.2
102.1,113.8,36.5,71.3,71.3,78.6,78.6,24.8
101.8,107.1,29.8,76.1,76.1,73.1,73.1,23.9
101.9,104.5,31.1,75.7,75.7,75.5,75.5,25.3
92.0,115.9,31.5,76.2,76.2,75.6,75.6,25.5
93.7,113.3,31.7,76.3,76.3,78.2,78.2,22.6
93.9,112.7,31.6,77.9,77.9,77.4,77.4,22.3
95.0,112.1,31.2,78.9,78.9,73.9,73.9,22.0
99.4,104.5,31.8,82.5,82.5,72.3,72.3,23.9
99.8,103.0,32.3,78.8,78.8,74.8,74.8,23.4
97.7,105.6,31.9,78.5,78.5,75.0,75.0,24.5
93.7,103.6,33.8,77.4,77.4,77.8,77.8,23.0
89.1,107.4,33.0,84.6,84.6,73.6,73.6,21.3
99.6,97.8,35.1,84.3,84.3,73.7,73.7,22.8
98.6,99.2,39.0,37.2,37.2,112.0,112.0,34.7
98.5,104.4,38.9,40.7,40.7,103.2,103.2,42.1
99.7,103.9,40.4,37.1,37.1,107.2,107.2,40.9
