,id,Group,Number Rat,Name video,Step Distance,Angle Distance
31,4d5d3fce-cbbc-4592-994b-cd4ac3afc081,SCI_7_dpi,9,Rat 9 SCI (7 dpi) Treadmill  03_08_23DLC_resnet50_all_parts_SCIDec19shuffle1_50000_labeled.mp4,30,10
32,eddabe9a-49d0-4ece-b39b-20b386111eb8,SCI_7_dpi,10,Rat 10 SCI (7 dpi) Treadmill  03_08_23DLC_resnet50_all_parts_SCIDec19shuffle1_50000_labeled.mp4,30,10
0,fafdc0d9-dd7c-4c5e-88b8-e86d16f0d47d,SCI_TMT_7_dpi,1,SCI 1 (7 dpi) Treadmill Rehabilitation group 07_08_23DLC_resnet50_all_parts_SCIDec19shuffle1_50000_labeled.mp4,50,15
1,cdd4482a-7fad-4d2c-83b2-0b5906c0fa74,SCI_TMT_7_dpi,2,SCI 2 (7 dpi) Treadmill Rehabilitation group 07_08_23DLC_resnet50_all_parts_SCIDec19shuffle1_50000_labeled.mp4,50,15
2,87f0bf65-3f66-4758-a1c9-0dd71e48fbf1,SCI_TMT_7_dpi,3,SCI 3 (7 dpi) Treadmill Rehabilitation group 07_08_23DLC_resnet50_all_parts_SCIDec19shuffle1_50000_labeled.mp4,90,30
3,53d09410-9c1c-4fc6-914d-dc8b18defd6e,SCI_TMT_7_dpi,4,SCI 4 (7 dpi) Treadmill Rehabilitation group 07_08_23DLC_resnet50_all_parts_SCIDec19shuffle1_50000_labeled.mp4,90,30
4,afbff81f-452f-431b-addf-e43650013964,SCI_TMT_7_dpi,5,SCI 5 (7 dpi) Treadmill Rehabilitation group 07_08_23DLC_resnet50_all_parts_SCIDec19shuffle1_50000_labeled.mp4,120,10
5,38379405-4003-4f5e-8aa9-1657edfcf893,SCI_TMT_7_dpi,6,SCI 6 (7 dpi) Treadmill Rehabilitation group 07_08_23DLC_resnet50_all_parts_SCIDec19shuffle1_50000_labeled.mp4,50,10
6,3932a244-aab7-493e-9a55-149e06869d19,SCI_TMT_7_dpi,7,SCI 7 (7 dpi) Treadmill Rehabilitation group 07_08_23DLC_resnet50_all_parts_SCIDec19shuffle1_50000_labeled.mp4,70,10
7,6eab4c0a-dfa1-47ca-9d37-0cc444edf3e6,SCI_TMT_7_dpi,8,SCI 8 (7 dpi) Treadmill Rehabilitation group 07_08_23DLC_resnet50_all_parts_SCIDec19shuffle1_50000_labeled.mp4,120,15
8,0e833bf5-593e-4161-8f02-998cf84c6cf8,SCI_TMT_7_dpi,9,SCI 9 (7 dpi) Treadmill Rehabilitation group 07_08_23DLC_resnet50_all_parts_SCIDec19shuffle1_50000_labeled.mp4,120,15
9,c15f06e1-0c62-48df-b7d6-bb01475009e2,SCI_14_dpi,1,SCI 1 (14 dpi) Treadmill  10_08_23DLC_resnet50_all_parts_SCIDec26shuffle1_100000_labeled.mp4,60,15
10,ce938615-8e2a-4bb2-bd2e-7c7c89d5cc55,SCI_14_dpi,2,SCI 2(14 dpi) Treadmill  10_08_23DLC_resnet50_all_parts_SCIDec26shuffle1_100000_labeled.mp4,80,20
11,f5ce005d-4604-4ab3-a74d-9152eb541b67,SCI_14_dpi,3,SCI   3 (14 dpi) Treadmill  10_08_23DLC_resnet50_all_parts_SCIDec26shuffle1_100000_labeled.mp4,80,14
12,0aa03fec-9b6c-423c-90d1-84cc890ea53a,SCI_14_dpi,4,SCI 4(14 dpi) Treadmill  10_08_23DLC_resnet50_all_parts_SCIDec26shuffle1_100000_labeled.mp4,80,14
