Paw_1_Median stride time,Paw_1_Mean stride time,Paw_1_Kvar stride time,Paw_1_Frac stride time,Paw_1_Median stride intl,Paw_1_Mean stride intl,Paw_1_Kvar stride intl,Paw_1_Frac stride intl,Paw_2_Median stride time,Paw_2_Mean stride time,Paw_2_Kvar stride time,Paw_2_Frac stride time,Paw_2_Median stride intl,Paw_2_Mean stride intl,Paw_2_Kvar stride intl,Paw_2_Frac stride intl,Paw_3_Median stride time,Paw_3_Mean stride time,Paw_3_Kvar stride time,Paw_3_Frac stride time,Paw_3_Median stride intl,Paw_3_Mean stride intl,Paw_3_Kvar stride intl,Paw_3_Frac stride intl,Paw_4_Median stride time,Paw_4_Mean stride time,Paw_4_Kvar stride time,Paw_4_Frac stride time,Paw_4_Median stride intl,Paw_4_Mean stride intl,Paw_4_Kvar stride intl,Paw_4_Frac stride intl
5.0,5.172413793103448,0.5204271749672997,0.004340277777777778,20.5,1224.357142857143,2.531911001874867,0.9956597222222222,5.0,5.545454545454546,0.17807836870820024,0.0017650462962962962,398.0,3050.2,2.047626842126256,0.9982349537037037,5.0,10.41304347826087,1.7753565557535465,0.013859953703703704,44.0,727.7777777777778,3.885440430320318,0.9861400462962963,5.0,5.117647058823529,0.13205891141466736,0.0025173611111111113,91.0,1780.375,1.9404495780725675,0.9974826388888889
5.0,7.088235294117647,0.5204616434555963,0.006216146505029662,20.0,716.3939393939394,2.6655533240287843,0.9937838534949703,5.5,7.3,0.4246575342465753,0.001882899148826412,17.0,2082.5555555555557,2.8051700623860563,0.9981171008511736,5.0,5.083333333333333,0.1876315269222885,0.00314676296105236,62.0,1615.608695652174,1.6297982665832216,0.9968532370389477,5.0,6.0,0.31426968052735443,0.0013928295073510446,14.5,18.5,0.6222088882822344,0.9986071704926489
5.0,5.26984126984127,0.3084078490643422,0.0433420365535248,16.0,114.09677419354838,3.69427129070955,0.9566579634464752,5.0,5.0,0.34512477614786097,0.0293733681462141,14.0,128.6818181818182,3.37222550205485,0.970626631853786,5.0,5.045454545454546,0.1114352871788557,0.014490861618798955,27.0,329.9047619047619,2.651394673016029,0.985509138381201,5.0,6.4772727272727275,0.5125570031132568,0.03720626631853786,23.0,163.62790697674419,3.6288472150506275,0.9627937336814621
5.0,28.222772277227723,3.768715081167293,0.1389945387165984,28.0,197.30348258706468,1.8373401792323458,0.8610054612834016,5.0,7.178451178451178,1.467600870089531,0.051979715233079773,26.0,138.3783783783784,2.5951533609250497,0.9480202847669202,5.0,9.291553133514986,2.2269795493741382,0.08313828749756193,35.5,109.24590163934427,1.807339153207223,0.9168617125024381,5.0,7.386029411764706,1.671679559062446,0.0489808855080944,25.0,150.61254612546125,4.468363098910797,0.9510191144919056
5.0,8.037735849056604,1.8012505115638353,0.04630434782608696,24.0,153.60663507109004,2.5531463043438003,0.953695652173913,5.0,6.205128205128205,0.40668379389478,0.0065760869565217395,33.5,868.9736842105264,2.14311541111845,0.9934239130434782,5.0,9.23495145631068,4.29689965438163,0.1292391304347826,25.0,70.70428015564202,2.1672995516126723,0.8707608695652174,5.0,14.505791505791505,3.808055181794599,0.10209239130434783,28.0,142.28682170542635,2.7153599684685275,0.8979076086956522
5.0,7.9772727272727275,2.199197690794106,0.07240472384095714,29.0,109.61538461538461,1.775790342871977,0.9275952761590428,5.0,9.816638370118845,4.614666218429072,0.14908978392037542,21.0,64.99319727891157,3.1762587494653083,0.8509102160796246,5.0,14.836185819070904,4.086786547148844,0.15646433912639884,25.0,91.86764705882354,2.006181326151922,0.8435356608736011,5.0,7.429012345679013,1.1867338072021147,0.12412975091537311,23.0,56.79289026275116,2.3538005614182542,0.8758702490846269
5.0,8.228,3.2936988083470524,0.05526301649562087,38.0,144.9277108433735,2.2327894259147154,0.9447369835043792,5.0,6.336,0.608361408517836,0.06383321691472785,29.0,99.20053475935829,1.8757707973783944,0.9361667830852721,5.0,7.328467153284672,1.4909852232405432,0.13486647681478695,25.0,53.87573099415204,1.6347851921228012,0.8651335231852131,5.0,6.862007168458781,2.0773252842955707,0.10286927086131857,19.0,66.65529622980252,3.1599620095740866,0.8971307291386814
5.0,6.2155172413793105,0.4502803349633099,0.03881143349302901,14.0,140.55411255411255,7.275719840269451,0.9611885665069709,5.0,5.182608695652174,0.19309157558142015,0.01604134144372073,21.5,33.99122807017544,1.1852885246118277,0.9839586585562793,5.0,6.1923076923076925,0.5089673766645246,0.038999838509985466,13.0,50.25321888412017,7.102386404975488,0.9610001614900145,5.0,5.665254237288136,0.4108509694598707,0.03598535823868224,12.0,15.306382978723404,1.014111873449764,0.9640146417613178
5.0,7.098765432098766,0.9757901165756933,0.04684190517569109,22.5,151.3181818181818,2.3285918169261177,0.9531580948243089,5.0,8.520114942528735,3.217127449854175,0.08051376744691251,23.0,105.45244956772335,2.374815029873395,0.9194862325530875,5.0,9.006263048016702,1.9934964043083954,0.11714549503068485,29.5,76.6213389121339,1.5532099031671431,0.8828545049693152,5.0,9.455172413793104,3.2644134544674093,0.1116873947754304,22.0,84.79953917050692,3.0025676552248513,0.8883126052245696
5.0,38.875,4.278445282267107,0.09457068612815835,24.0,372.08045977011494,2.2835568652218985,0.9054293138718417,5.0,8.204819277108435,2.0645335792010604,0.018825675899817547,36.0,420.6341463414634,2.2157854810729143,0.9811743241001825,5.0,8.67251461988304,2.572370833598192,0.08199259136396307,30.0,104.14076246334311,2.0043001343838562,0.9180074086360369,5.0,9.860869565217392,4.369569422117094,0.062696964670758,21.0,142.55458515283843,2.8787721990887505,0.937303035329242
5.0,5.657534246575342,0.34020878358350715,0.011233204591198389,30.5,429.1111111111111,2.4987153794041443,0.9887667954088016,5.0,7.845238095238095,0.9714469915390278,0.017924169069248763,21.0,416.421686746988,3.069710210425178,0.9820758309307512,5.0,8.14186046511628,1.7351508961923219,0.09522384812054616,26.0,83.96503496503496,1.9235543688825154,0.9047761518794538,5.0,8.837209302325581,1.913507171476203,0.020671272371212534,67.0,423.47058823529414,1.9061043596151077,0.9793287276287874
